n,m,p,probability
1,8,0.0002585613352416828,1.0
2,3,0.005006423029486193,0.96
4,10,0.021007937770375507,0.52
10,15,0.9120011830086401,0.0
2,5,0.0007043279847412974,1.0
11,6,0.0030589288830618656,0.9
7,5,0.009380709519412334,0.08
14,1,0.2055342836339954,0.14
2,16,0.000787903197703905,0.98
2,9,0.005178450637534321,0.94
8,11,0.0779461248747085,0.24
4,13,0.6403445163105594,0.0
6,17,0.0009134985804947382,0.96
16,5,0.006298575830064827,0.58
20,16,0.045689530188005686,0.06
2,13,0.6476595505221693,0.0
15,19,0.0006864607145648533,0.14
18,7,0.007678377871235854,0.5
3,1,0.018946326813896196,0.0
17,11,0.6450895674631165,0.0
4,8,0.0005738750937734044,0.96
18,18,0.0007135322169301928,0.84
16,18,0.04545340897267539,0.08
17,16,0.15443279450891845,0.02
9,12,0.0003272450065156216,0.98
16,3,0.009971118875345124,0.56
12,1,0.07973243517222436,0.48
12,8,0.1572462444711874,0.08
12,8,0.0009154856711629212,0.92
20,18,0.0009950314611706246,0.72
5,17,0.001858029334531519,0.06
8,16,0.3373959652506101,0.0
4,20,0.00015173921699376792,0.98
1,15,0.007712770990340021,0.08
4,9,0.051639435107755816,0.38
1,20,0.014639781244088823,0.72
14,7,0.0007872104215167152,0.94
9,15,0.007878251588882113,0.22
20,20,0.06100265406550258,0.08
11,5,0.4314945002699332,0.0
19,17,0.00035984259567757083,0.02
4,16,0.0074626541243501664,0.68
16,15,0.08399122739379968,0.0
2,12,0.21587822463231254,0.12
12,19,0.00038619112434681044,0.96
19,14,0.006383527631808102,0.38
19,14,0.00017462566345893826,0.94
6,8,0.2681219061963136,0.02
14,4,4.542848847408354e-05,1.0
6,19,0.0029142532390224853,0.74
3,14,0.08254026328202811,0.1
20,3,0.03430616096677863,0.32
10,12,0.0009748179944308814,0.84
20,11,0.00014255397520699598,0.96
4,5,0.060325315218416754,0.4
15,20,0.9733589412087272,0.0
10,17,0.0007358329715065991,0.82
9,8,0.0011383056183990859,1.0
2,9,0.030290793042585917,0.62
5,14,0.40716964085459484,0.0
12,19,9.030654808367077e-05,1.0
9,15,0.0037726744194361583,0.16
10,18,0.010277439470197613,0.34
2,9,0.3733102612614706,0.0
5,6,0.00028186842546559397,1.0
13,9,0.004336899083352627,0.14
11,2,0.08837885704959955,0.32
3,10,0.670743339295511,0.0
18,15,0.0006978773623037655,0.88
13,1,0.008586437059518582,0.0
15,3,0.013949220222430225,0.12
9,7,0.5154951077451613,0.0
16,19,0.0001738731223887079,0.9
18,6,0.0022273839566067676,0.88
2,8,0.0970401056829545,0.42
7,10,0.538886976150315,0.0
14,19,0.00011687392626509463,0.98
17,15,0.006230991497394226,0.3
14,18,0.034442281574269505,0.2
13,9,0.4799518512600818,0.0
10,2,0.0004646522630924147,1.0
10,20,0.0021439408529516134,0.64
3,18,0.027726866525983072,0.42
4,19,0.09176221693968833,0.16
18,19,0.0007836092143342775,0.72
16,2,0.0019869619924159166,0.94
12,20,0.05933823616467242,0.08
9,6,0.2796871525428617,0.0
6,11,0.0005197854252058263,0.98
20,2,0.0038873243430577777,0.84
15,9,0.08534760600299426,0.12
17,7,0.607690311872801,0.0
12,10,0.00018756421727644202,0.98
14,7,0.000693025622051775,0.92
10,1,0.0032903123404284585,0.96
3,20,0.657349976078235,0.0
19,3,0.0005901207799251725,0.0
4,7,0.008823712259420517,0.86
1,3,0.037716784277221346,0.08
7,4,0.07308518742358139,0.22
4,11,0.000281010270043383,1.0
6,5,0.007384563486497872,0.8
1,8,0.09705963446071877,0.58
20,20,0.9349808993251469,0.0
15,17,0.0005343177087416147,0.08
1,8,0.008170142512281093,0.9
5,8,0.07210162304170063,0.34
2,17,0.04149634338730879,0.28
5,4,0.0005963858255261499,1.0
2,3,0.006171594359807844,0.98
16,3,0.01645432452706307,0.56
15,12,0.6723171574964172,0.0
12,3,0.0005936697242498809,0.98
1,9,0.008953072213780342,0.02
5,16,0.08318789207116281,0.2
14,10,0.7754313425785697,0.0
14,11,0.0006135968408683091,0.94
1,11,0.0009059313945806002,0.0
8,1,0.04631174492986477,0.52
11,13,0.46392322416711274,0.0
3,8,0.000517243391685621,1.0
5,4,0.008006696366115569,0.86
20,11,0.018970684835243244,0.24
18,10,0.9182610980050634,0.0
7,13,9.804872620910876e-05,0.0
10,20,0.008773978894037866,0.34
3,3,0.0024558749953231484,0.0
17,19,0.765803638668544,0.0
1,18,0.0006895901738472416,0.94
9,16,0.0006018004576129887,0.92
11,15,0.031897461604570534,0.12
2,10,0.8795997982537345,0.06
3,1,0.0008527318512468285,0.0
12,11,0.002729216325508086,0.86
10,12,0.08888456154360096,0.04
19,19,0.2666025901645822,0.0
2,12,0.0009607256146882422,0.98
2,14,0.005176275264981917,0.8
15,19,0.07018080859215683,0.06
5,20,0.38871056168155305,0.0
15,10,0.0001015350369214949,0.98
13,15,0.008725959742546698,0.22
6,6,0.022877224973355304,0.48
10,9,0.41337809622347954,0.0
19,12,9.077066815629609e-05,1.0
10,17,0.006073591183475453,0.52
6,2,0.07929147290658092,0.6
6,7,0.041898285834739535,0.32
17,18,0.0007298177170075013,0.86
3,17,0.0061720471962352095,0.14
7,15,0.03712696121251813,0.14
8,8,0.6671627782793804,0.0
16,10,0.00011485435024554191,1.0
4,18,0.005248010263294276,0.74
20,13,0.045673446950527906,0.1
17,9,0.04050299553107173,0.1
13,17,0.0006684975848682388,0.04
13,11,0.004660804091029939,0.2
8,14,0.040601679896389894,0.2
12,13,0.9020747571844946,0.0
5,20,0.00043373205954463635,0.94
8,2,0.00897873773633738,0.82
16,17,0.04566695007674506,0.16
6,4,0.27118549432466044,0.12
17,12,0.0003192843092508562,0.9
5,10,0.00842243523836889,0.76
12,18,0.09317197331243521,0.0
8,17,0.034684075809835346,0.16
9,6,0.0006125975583881009,0.94
3,15,0.0002842326703716558,0.04
9,16,0.08444884110631255,0.14
15,3,0.6260566651794638,0.0
18,3,0.0006913034315565545,0.98
12,12,0.005717942700057904,0.6
11,9,0.04960185640881239,0.1
10,16,0.82817773559638,0.0
3,14,0.0009917868464553116,0.94
7,5,0.009228255516498392,0.12
9,6,0.060669436655684104,0.14
17,6,0.5687981157976835,0.0
6,12,0.00092809592066863,0.9
16,19,0.006812673616586431,0.28
14,4,0.004062734735168006,0.8
8,4,0.2938484913491938,0.02
12,10,0.0004798766951923419,0.92
3,14,0.008338508964662383,0.78
13,1,0.06419136241296682,0.2
6,6,0.5504557270159031,0.0
16,7,0.0003763342463488677,0.98
20,20,0.002924660195501503,0.42
10,10,0.02809701045661933,0.18
16,14,0.6688319317271342,0.0
14,15,0.0009372150725641614,0.86
7,5,0.008445100149918972,0.12
9,1,0.04170335277985467,0.08
1,3,0.4105602226324655,0.44
5,15,0.0003352452704757419,0.02
17,19,0.0016590575253370866,0.24
6,10,0.061327727214026476,0.2
6,1,0.7546059205643424,0.32
9,6,0.0007856607695897781,0.98
5,8,0.0010448207146634958,0.96
18,8,0.014201682119617287,0.36
9,14,0.33061988819303945,0.0
5,12,0.000872379383494732,0.98
9,10,0.003321456651789889,0.76
1,12,0.08175824854447131,0.4
20,19,0.9853419812150233,0.02
9,2,0.0003127972547347467,1.0
9,10,0.004814913584114621,0.64
14,11,0.09516760942554726,0.06
17,3,0.5781007775140123,0.0
14,11,0.0007091379688919193,0.92
20,15,0.0072044812107157005,0.32
13,11,0.02782193583568333,0.18
10,11,0.9017806688733773,0.0
6,15,0.00032204166013301516,0.98
7,12,0.003433907175372457,0.72
8,18,0.0833368289554727,0.26
13,9,0.01890348246624196,0.22
12,6,0.00047621661482634203,0.94
15,3,0.003657821886608106,0.1
19,16,0.08817203961084705,0.0
1,13,0.7425094366928747,0.1
6,19,5.456468214288579e-06,1.0
14,15,0.006859577224338784,0.3
6,4,0.009662850662884703,0.8
3,3,0.1464520006354445,0.3
4,3,0.0003147243827510594,1.0
16,19,0.004657985803460659,0.32
17,18,0.01395652646156984,0.28
5,10,0.8024420207400889,0.0
2,8,0.0008702655044750453,0.98
1,8,0.006112672178153605,0.92
16,13,0.07202583456354099,0.1
9,5,0.0858435105027141,0.2
19,7,0.0009323210552221824,0.06
16,18,0.0075008552356647966,0.3
12,14,0.02522258368154199,0.24
1,8,0.19158342559931274,0.48
