n,m,p,probability
13,15,0.0006243656586608139,0.04
11,10,0.005305679772493499,0.98
17,15,0.001358631204439542,0.0
6,10,0.5897498479527222,0.2
9,18,0.0008760127033155768,0.98
19,7,0.009488442315079162,0.16
5,7,0.004273917634866864,0.02
16,18,0.39687145052274875,0.04
18,2,0.00010202965509803075,1.0
3,11,0.008690362649417112,0.08
15,12,0.041132878190956255,0.72
5,8,0.9028216584966188,0.78
10,13,0.00022755544356815828,1.0
15,12,0.008702883446226214,0.9
1,20,0.013664905613148814,0.72
13,5,0.6224239340332272,0.34
6,4,9.240347967894213e-05,1.0
15,17,0.0004788895383620817,0.0
16,11,0.052682480159918874,0.5
17,3,0.28033798360203943,0.34
8,10,0.00021224775901209015,1.0
18,6,0.008327421304686044,0.98
5,8,0.018513268571209284,0.86
19,14,0.061566191237860224,0.5
14,11,0.0008960012868466472,0.98
8,10,0.0068591024815177,1.0
13,10,0.010502565966742195,0.96
5,6,0.7385763737294823,0.64
10,19,0.0005667519604811658,1.0
12,13,0.004942538370787951,0.98
5,17,0.06018176841881876,0.32
19,5,0.2557492364412248,0.36
19,12,0.0005874634176108046,1.0
10,19,0.00045597001680605545,1.0
8,9,0.04085055377563721,0.84
19,20,0.4749423098023071,0.0
1,7,0.00036833537659363135,0.0
15,12,0.006717510386786245,0.98
1,15,0.049128623411118635,0.24
18,15,0.5497435406991364,0.04
17,16,0.000642366109679632,1.0
19,4,0.008110791818270196,1.0
10,17,0.0058565397222699045,0.94
1,3,0.25717432048372313,0.44
8,2,0.00047721496480873757,1.0
5,10,0.006835176838861535,0.94
14,1,0.03995668210834188,0.44
1,20,0.4339918809911092,0.42
14,4,9.307595219970332e-05,1.0
10,10,0.0004531555623675987,1.0
20,2,0.023512321653236246,0.98
8,4,0.41188420758925026,0.38
19,17,0.000992119630330154,0.02
18,8,0.0011283019480215373,1.0
20,11,0.02456715550780634,0.6
2,12,0.9263757997677833,0.96
11,20,0.0009732117564662367,1.0
8,7,0.004018472490436862,0.96
14,20,0.03341828113586752,0.84
13,15,0.5844677059943001,0.04
8,16,0.0007564218333128259,1.0
4,3,0.00943128034569678,0.94
11,7,0.010910717242221434,0.06
15,12,0.2067026729543885,0.24
11,2,0.00040179145732574604,1.0
13,11,0.0032202797908495017,0.02
1,9,0.013447336256845044,0.16
5,2,0.05617076214992123,0.98
10,17,0.0007714208118215019,1.0
11,5,0.009046741520710565,0.12
8,8,0.013542779059330535,0.98
1,12,0.1298030343473705,0.4
8,2,0.0003984860823656268,1.0
4,15,0.005856759207896385,0.98
18,4,0.0492616836246233,0.88
18,14,0.6241237314913901,0.02
4,5,2.112967157615475e-05,1.0
6,9,0.008180322256385738,1.0
1,11,0.0005500341579672274,0.0
1,3,0.021958958744655588,0.06
9,9,6.441379131868175e-05,0.0
20,1,0.0010920096252555157,0.98
9,18,0.08718232774891407,0.42
9,11,0.287922885449992,0.2
13,10,0.0009944102479416438,1.0
7,19,0.006266804682508497,0.2
17,13,0.0780754677875486,0.46
18,13,0.7566781223020306,0.14
1,5,0.00045981395795649483,0.0
18,10,0.007613086272074993,0.96
16,19,0.0879645223244872,0.46
11,8,0.1953911559472633,0.38
14,15,0.0007889077252386466,1.0
5,11,0.0032736842545837306,0.0
15,17,0.0709526014341812,0.34
20,5,0.18417241801434425,0.26
3,16,0.0006177745519948801,1.0
1,13,0.002250047659625115,0.04
18,16,0.007383709504171299,1.0
14,7,0.6695729462445719,0.34
4,15,0.0004722277311820824,1.0
5,13,0.0022260932458814486,0.04
5,2,0.09459857660353208,0.86
11,20,0.7069610202415324,0.12
18,1,0.00032016323035959993,1.0
12,15,0.008100204904216075,0.88
19,12,0.06234919568487307,0.56
8,3,0.03182505144651715,0.84
1,16,0.000576237344829288,0.98
11,17,0.003957950101212305,0.06
18,16,0.04728777177334492,0.68
9,19,0.6812431627961999,0.14
11,5,0.0005691917322577977,0.0
7,1,0.003355477673338819,0.04
1,5,0.05892690271869738,0.16
18,3,0.3339291269960535,0.36
18,10,0.00040835217942325144,1.0
19,6,0.009201384101782091,1.0
8,9,0.004328509281968429,1.0
10,3,0.40429768307288383,0.44
1,8,0.0006783313537157416,1.0
3,4,0.00873002740655701,0.96
12,2,0.011935642315393269,1.0
14,11,0.5491117309389835,0.08
8,6,0.0002904149361979035,1.0
3,13,0.00638640450820333,0.04
5,20,0.09301483924378831,0.48
18,1,0.8662564734597891,0.94
7,13,0.00033820384450635685,0.02
7,17,0.003742837230597705,0.04
5,6,0.036741982676891306,0.92
16,18,0.9160885103081964,0.52
16,20,0.0007924067874531656,1.0
12,6,0.0014016061908687827,1.0
7,13,0.005834362264664517,0.14
3,4,0.8940180732145854,0.92
1,6,0.0003269386395337701,1.0
19,16,0.0007417956567156547,0.98
3,11,0.0003214553078481841,0.0
9,9,0.15377784624330515,0.4
3,11,0.0001436174476623573,0.0
9,1,0.006498638940647304,0.04
11,17,0.07210456699653231,0.4
6,15,0.40786952443303026,0.28
14,18,0.0008187043017095093,1.0
10,2,0.0022788098662934377,1.0
5,20,0.04528576233980981,0.5
1,16,0.8657227833287519,0.78
11,2,0.0006822356423893141,0.98
7,15,0.008311728200978568,0.06
13,10,0.08433944270221401,0.6
16,2,0.45069738522627445,0.44
5,11,0.000692633054173799,0.02
5,20,0.00995806448943231,0.8
2,2,0.07936850847954169,0.98
12,18,0.33991402072545585,0.04
11,3,0.0007866525611047392,0.0
7,6,0.005509703526430616,0.96
8,5,0.0020335265325851504,0.96
15,1,0.5028175866810317,0.46
2,13,0.0004126511259101635,1.0
17,20,0.001195856378514134,0.9
5,4,0.05518776748655947,0.86
19,1,0.6260303649980151,0.74
9,3,0.0004855456932134495,0.0
16,15,0.00698307720074364,0.88
9,7,0.02180800877138529,0.08
4,11,0.8623511084142437,0.74
12,9,0.0009662530988915558,1.0
3,17,0.004545726691281926,0.02
14,16,0.02439391318465396,0.98
19,20,0.8039063014969117,0.06
4,8,0.00019663405906654362,1.0
3,4,0.00829433973803912,1.0
5,5,0.04754495988220053,0.2
7,10,0.5071998062691961,0.24
19,2,0.0001526850016589073,1.0
7,10,0.004956625823573182,0.94
10,16,0.06310632077746062,0.78
2,14,0.07328328262465678,0.92
15,11,0.0008239959903075985,0.02
17,4,0.008886186761900436,0.96
14,13,0.031061258540509694,0.68
19,19,0.5552827815573916,0.02
2,6,0.0008874767068360732,1.0
15,12,0.0013332921628298434,1.0
12,17,0.05991224823566512,0.68
20,3,0.6330039047450495,0.44
3,3,0.00034814179615307153,0.0
18,15,0.005843401526690076,0.9
6,2,0.042404112769276546,1.0
18,6,0.2520757400063067,0.3
7,18,0.000890951917723126,0.98
3,4,0.004326951217644747,0.94
12,8,0.052780656290993,0.88
10,16,0.5259569585262623,0.08
17,15,0.0006242811816206774,0.0
20,19,0.006434002808809215,0.84
6,15,0.018364442325043296,0.96
10,13,0.8642898099364381,0.5
19,19,0.0003358048165451364,0.0
4,13,0.005143793293434947,0.98
14,12,0.08633506193051697,0.64
2,16,0.2379807296080153,0.74
18,7,0.0005503268782252128,0.98
20,18,0.005943132525819478,1.0
17,3,0.051744044548920606,0.32
6,6,0.5507578943154149,0.38
4,6,0.000407955587475602,1.0
3,8,0.009415183733923953,0.96
4,16,0.04544857167737858,1.0
5,13,0.45066171900420604,0.14
10,8,0.0009325734851049793,1.0
13,7,0.009591950991008786,0.06
16,13,0.03598832555270938,0.54
16,3,0.11315090605679234,0.42
8,17,8.48634613710979e-05,1.0
13,11,0.0016805608068316924,0.0
17,4,0.07870897202817703,0.62
5,6,0.20084376450965957,0.52
17,5,0.000603184257538337,0.02
4,10,0.001846065741046491,1.0
16,12,0.05518310269068254,0.68
18,17,0.40350423081686604,0.02
3,8,0.0002663296650752921,1.0
14,18,0.0028255448447834053,1.0
13,3,0.008322094105312849,0.04
20,7,0.3375126168143835,0.2
9,13,0.0007592974526957709,0.0
10,10,0.005986938710837288,1.0
19,18,0.056915823479578166,0.58
19,18,0.12263872112360763,0.3
10,7,0.0005518519510840071,1.0
20,11,0.0007754770625074425,1.0
