n,m,p,probability
5,2,0.01,0.94
5,3,0.01,0.06
5,4,0.01,0.86
5,5,0.01,0.18
5,6,0.01,0.78
5,7,0.01,0.14
5,8,0.01,0.56
5,9,0.01,0.12
5,10,0.01,0.58
5,11,0.01,0.14
5,12,0.01,0.66
5,13,0.01,0.22
5,14,0.01,0.56
5,15,0.01,0.16
5,16,0.01,0.56
5,17,0.01,0.1
5,18,0.01,0.5
5,19,0.01,0.16
12,2,0.01,0.7
12,3,0.01,0.56
12,4,0.01,0.7
12,5,0.01,0.58
12,6,0.01,0.56
12,7,0.01,0.54
12,8,0.01,0.46
12,9,0.01,0.46
12,10,0.01,0.42
12,11,0.01,0.36
12,12,0.01,0.46
12,13,0.01,0.28
12,14,0.01,0.4
12,15,0.01,0.34
12,16,0.01,0.44
12,17,0.01,0.28
12,18,0.01,0.4
12,19,0.01,0.2
18,2,0.01,0.7
18,3,0.01,0.58
18,4,0.01,0.48
18,5,0.01,0.34
18,6,0.01,0.5
18,7,0.01,0.3
18,8,0.01,0.42
18,9,0.01,0.36
18,10,0.01,0.34
18,11,0.01,0.34
18,12,0.01,0.26
18,13,0.01,0.26
18,14,0.01,0.32
18,15,0.01,0.32
18,16,0.01,0.26
18,17,0.01,0.4
18,18,0.01,0.34
18,19,0.01,0.12
