n,m,p,probability
5,2,0.01,1.0
5,3,0.01,0.06
5,4,0.01,0.98
5,5,0.01,0.14
5,6,0.01,0.92
5,7,0.01,0.08
5,8,0.01,0.92
5,9,0.01,0.08
5,10,0.01,0.96
5,11,0.01,0.04
5,12,0.01,0.82
5,13,0.01,0.08
5,14,0.01,0.94
5,15,0.01,0.04
5,16,0.01,0.86
5,17,0.01,0.22
5,18,0.01,0.88
5,19,0.01,0.08
12,2,0.01,1.0
12,3,0.01,0.98
12,4,0.01,1.0
12,5,0.01,0.88
12,6,0.01,1.0
12,7,0.01,0.94
12,8,0.01,0.98
12,9,0.01,0.84
12,10,0.01,1.0
12,11,0.01,0.94
12,12,0.01,1.0
12,13,0.01,0.88
12,14,0.01,0.98
12,15,0.01,0.96
12,16,0.01,0.96
12,17,0.01,0.9
12,18,0.01,0.94
12,19,0.01,0.82
18,2,0.01,1.0
18,3,0.01,0.86
18,4,0.01,0.96
18,5,0.01,0.88
18,6,0.01,1.0
18,7,0.01,0.88
18,8,0.01,1.0
18,9,0.01,0.8
18,10,0.01,1.0
18,11,0.01,0.72
18,12,0.01,0.98
18,13,0.01,0.88
18,14,0.01,0.96
18,15,0.01,0.88
18,16,0.01,0.94
18,17,0.01,0.88
18,18,0.01,1.0
18,19,0.01,0.92
