n,m,p,probability
5,2,0.1,0.92
5,3,0.1,0.36
5,4,0.1,0.68
5,5,0.1,0.34
5,6,0.1,0.62
5,7,0.1,0.3
5,8,0.1,0.7
5,9,0.1,0.32
5,10,0.1,0.68
5,11,0.1,0.42
5,12,0.1,0.46
5,13,0.1,0.28
5,14,0.1,0.38
5,15,0.1,0.38
5,16,0.1,0.44
5,17,0.1,0.34
5,18,0.1,0.32
5,19,0.1,0.28
12,2,0.1,0.92
12,3,0.1,0.46
12,4,0.1,0.88
12,5,0.1,0.54
12,6,0.1,0.64
12,7,0.1,0.52
12,8,0.1,0.66
12,9,0.1,0.56
12,10,0.1,0.54
12,11,0.1,0.68
12,12,0.1,0.52
12,13,0.1,0.38
12,14,0.1,0.56
12,15,0.1,0.56
12,16,0.1,0.52
12,17,0.1,0.58
12,18,0.1,0.48
12,19,0.1,0.46
17,2,0.1,0.84
17,3,0.1,0.28
17,4,0.1,0.84
17,5,0.1,0.32
17,6,0.1,0.54
17,7,0.1,0.24
17,8,0.1,0.4
17,9,0.1,0.4
17,10,0.1,0.62
17,11,0.1,0.36
17,12,0.1,0.5
17,13,0.1,0.5
17,14,0.1,0.38
17,15,0.1,0.34
17,16,0.1,0.36
17,17,0.1,0.38
17,18,0.1,0.32
17,19,0.1,0.36
18,2,0.1,0.9
18,3,0.1,0.22
18,4,0.1,0.74
18,5,0.1,0.4
18,6,0.1,0.66
18,7,0.1,0.34
18,8,0.1,0.62
18,9,0.1,0.56
18,10,0.1,0.56
18,11,0.1,0.42
18,12,0.1,0.46
18,13,0.1,0.5
18,14,0.1,0.42
18,15,0.1,0.36
18,16,0.1,0.42
18,17,0.1,0.42
18,18,0.1,0.5
18,19,0.1,0.34
5,2,0.3,0.78
5,3,0.3,0.6
5,4,0.3,0.6
5,5,0.3,0.42
5,6,0.3,0.48
5,7,0.3,0.44
5,8,0.3,0.5
5,9,0.3,0.22
5,10,0.3,0.26
5,11,0.3,0.3
5,12,0.3,0.34
5,13,0.3,0.3
5,14,0.3,0.3
5,15,0.3,0.36
5,16,0.3,0.22
5,17,0.3,0.38
5,18,0.3,0.36
5,19,0.3,0.42
12,2,0.3,0.58
12,3,0.3,0.4
12,4,0.3,0.56
12,5,0.3,0.38
12,6,0.3,0.34
12,7,0.3,0.3
12,8,0.3,0.2
12,9,0.3,0.16
12,10,0.3,0.2
12,11,0.3,0.3
12,12,0.3,0.22
12,13,0.3,0.16
12,14,0.3,0.26
12,15,0.3,0.22
12,16,0.3,0.16
12,17,0.3,0.24
12,18,0.3,0.18
12,19,0.3,0.1
17,2,0.3,0.66
17,3,0.3,0.3
17,4,0.3,0.6
17,5,0.3,0.32
17,6,0.3,0.26
17,7,0.3,0.14
17,8,0.3,0.26
17,9,0.3,0.2
17,10,0.3,0.18
17,11,0.3,0.14
17,12,0.3,0.08
17,13,0.3,0.14
17,14,0.3,0.12
17,15,0.3,0.08
17,16,0.3,0.16
17,17,0.3,0.06
17,18,0.3,0.14
17,19,0.3,0.1
18,2,0.3,0.6
18,3,0.3,0.26
18,4,0.3,0.32
18,5,0.3,0.28
18,6,0.3,0.18
18,7,0.3,0.34
18,8,0.3,0.36
18,9,0.3,0.14
18,10,0.3,0.16
18,11,0.3,0.14
18,12,0.3,0.16
18,13,0.3,0.14
18,14,0.3,0.22
18,15,0.3,0.14
18,16,0.3,0.08
18,17,0.3,0.1
18,18,0.3,0.06
18,19,0.3,0.06
5,2,0.5,0.54
5,3,0.5,0.56
5,4,0.5,0.48
5,5,0.5,0.32
5,6,0.5,0.3
5,7,0.5,0.44
5,8,0.5,0.38
5,9,0.5,0.38
5,10,0.5,0.34
5,11,0.5,0.28
5,12,0.5,0.24
5,13,0.5,0.22
5,14,0.5,0.26
5,15,0.5,0.36
5,16,0.5,0.18
5,17,0.5,0.28
5,18,0.5,0.24
5,19,0.5,0.3
12,2,0.5,0.5
12,3,0.5,0.28
12,4,0.5,0.4
12,5,0.5,0.34
12,6,0.5,0.36
12,7,0.5,0.26
12,8,0.5,0.18
12,9,0.5,0.3
12,10,0.5,0.08
12,11,0.5,0.08
12,12,0.5,0.16
12,13,0.5,0.08
12,14,0.5,0.06
12,15,0.5,0.06
12,16,0.5,0.1
12,17,0.5,0.12
12,18,0.5,0.04
12,19,0.5,0.12
17,2,0.5,0.52
17,3,0.5,0.3
17,4,0.5,0.26
17,5,0.5,0.24
17,6,0.5,0.2
17,7,0.5,0.22
17,8,0.5,0.16
17,9,0.5,0.18
17,10,0.5,0.12
17,11,0.5,0.04
17,12,0.5,0.04
17,13,0.5,0.1
17,14,0.5,0.04
17,15,0.5,0.02
17,16,0.5,0.04
17,17,0.5,0.04
17,18,0.5,0.02
17,19,0.5,0.0
18,2,0.5,0.46
18,3,0.5,0.4
18,4,0.5,0.32
18,5,0.5,0.26
18,6,0.5,0.14
18,7,0.5,0.3
18,8,0.5,0.18
18,9,0.5,0.16
18,10,0.5,0.12
18,11,0.5,0.14
18,12,0.5,0.08
18,13,0.5,0.04
18,14,0.5,0.08
18,15,0.5,0.04
18,16,0.5,0.02
18,17,0.5,0.0
18,18,0.5,0.06
18,19,0.5,0.02
