n,m,p,probability
5,7,0.001,0.02
5,8,0.001,1.0
5,14,0.001,0.92
12,7,0.001,0.94
12,8,0.001,0.96
12,14,0.001,0.94
18,7,0.001,0.98
18,8,0.001,0.9
18,14,0.001,0.78
5,7,0.0013,0.0
5,8,0.0013,0.9
5,14,0.0013,0.88
12,7,0.0013,0.92
12,8,0.0013,0.88
12,14,0.0013,0.76
18,7,0.0013,0.9
18,8,0.0013,0.84
18,14,0.0013,0.68
5,7,0.0016,0.0
5,8,0.0016,0.94
5,14,0.0016,0.92
12,7,0.0016,0.86
12,8,0.0016,0.84
12,14,0.0016,0.72
18,7,0.0016,0.78
18,8,0.0016,0.84
18,14,0.0016,0.72
5,7,0.0019,0.04
5,8,0.0019,0.96
5,14,0.0019,0.92
12,7,0.0019,0.84
12,8,0.0019,0.8
12,14,0.0019,0.68
18,7,0.0019,0.88
18,8,0.0019,0.82
18,14,0.0019,0.76
5,7,0.0022,0.04
5,8,0.0022,0.96
5,14,0.0022,0.86
12,7,0.0022,0.88
12,8,0.0022,0.74
12,14,0.0022,0.74
18,7,0.0022,0.76
18,8,0.0022,0.76
18,14,0.0022,0.6
5,7,0.0025,0.02
5,8,0.0025,0.9
5,14,0.0025,0.82
12,7,0.0025,0.78
12,8,0.0025,0.82
12,14,0.0025,0.76
18,7,0.0025,0.76
18,8,0.0025,0.7
18,14,0.0025,0.62
5,7,0.0028,0.02
5,8,0.0028,0.92
5,14,0.0028,0.78
12,7,0.0028,0.84
12,8,0.0028,0.72
12,14,0.0028,0.6
18,7,0.0028,0.76
18,8,0.0028,0.66
18,14,0.0028,0.6
5,7,0.0031,0.1
5,8,0.0031,0.84
5,14,0.0031,0.88
12,7,0.0031,0.74
12,8,0.0031,0.8
12,14,0.0031,0.52
18,7,0.0031,0.72
18,8,0.0031,0.68
18,14,0.0031,0.5
5,7,0.0034,0.06
5,8,0.0034,0.84
5,14,0.0034,0.76
12,7,0.0034,0.8
12,8,0.0034,0.64
12,14,0.0034,0.58
18,7,0.0034,0.66
18,8,0.0034,0.7
18,14,0.0034,0.6
5,7,0.0037,0.1
5,8,0.0037,0.94
5,14,0.0037,0.68
12,7,0.0037,0.88
12,8,0.0037,0.82
12,14,0.0037,0.58
18,7,0.0037,0.76
18,8,0.0037,0.56
18,14,0.0037,0.48
5,7,0.004,0.08
5,8,0.004,0.86
5,14,0.004,0.74
12,7,0.004,0.78
12,8,0.004,0.72
12,14,0.004,0.58
18,7,0.004,0.6
18,8,0.004,0.72
18,14,0.004,0.36
5,7,0.0043,0.06
5,8,0.0043,0.86
5,14,0.0043,0.68
12,7,0.0043,0.8
12,8,0.0043,0.66
